Date,Open,High,Low,Close,Adj Close,Volume
2024-03-25,939.4099731445312,967.6599731445312,935.0999755859375,950.02001953125,950.02001953125,55213600
2024-03-26,958.510009765625,963.75,925.02001953125,925.6099853515625,925.6099853515625,51364800
2024-03-27,931.1199951171875,932.4000244140625,891.22998046875,902.5,902.5,58606700
2024-03-28,900.0,913.0,891.9299926757812,903.5599975585938,903.5599975585938,43521200
2024-04-01,902.989990234375,922.25,892.0399780273438,903.6300048828125,903.6300048828125,45244100
2024-04-02,884.47998046875,900.9400024414062,876.2000122070312,894.52001953125,894.52001953125,43306400
2024-04-03,884.8400268554688,903.739990234375,884.0,889.6400146484375,889.6400146484375,37006700
2024-04-04,904.0599975585938,906.3400268554688,858.7999877929688,859.0499877929688,859.0499877929688,43496500
2024-04-05,868.6599731445312,884.8099975585938,859.260009765625,880.0800170898438,880.0800170898438,39885700
2024-04-08,887.0,888.2999877929688,867.3200073242188,871.3300170898438,871.3300170898438,28322000
2024-04-09,874.4199829101562,876.3499755859375,830.219970703125,853.5399780273438,853.5399780273438,50354700
2024-04-10,839.260009765625,874.0,837.0900268554688,870.3900146484375,870.3900146484375,43192900
2024-04-11,874.2000122070312,907.3900146484375,869.260009765625,906.1599731445312,906.1599731445312,43163700
2024-04-12,896.989990234375,901.75,875.2999877929688,881.8599853515625,881.8599853515625,42488900
2024-04-15,890.97998046875,906.1300048828125,859.2899780273438,860.010009765625,860.010009765625,44307700
2024-04-16,864.3300170898438,881.1799926757812,860.6400146484375,874.1500244140625,874.1500244140625,37045300
2024-04-17,883.4000244140625,887.75,839.5,840.3499755859375,840.3499755859375,49540000
2024-04-18,849.7000122070312,861.9000244140625,824.02001953125,846.7100219726562,846.7100219726562,44726000
2024-04-19,831.5,843.239990234375,756.0599975585938,762.0,762.0,87190500
2024-04-22,781.0399780273438,800.72998046875,764.0,795.1799926757812,795.1799926757812,59634100
